How's it going?|Як справи?
How are you doing?|Як ти?
I'm not bad, how are you guys?|Норм, а ви?
Can you hear me?|Мене чути?
Can you see my screen?|Екран видно?
Give me one second.|Секунду.
Let me check something.|Дай перевірю.
So, what's up? What happened?|Ну що, що сталося?
Thanks for making the time.|Дякую, що знайшли час.
Maybe you had a chance to look at this?|Встиг подивитися?
Yeah, I did, I did.|Так, дивився.
Someone's joining, let's wait a minute.|Ще підключаються, зачекаймо.
I used to work in another agency.|Я раніше працював в іншій агенції.
Let me give you a short intro.|Коротко введу в курс.
Let's dive in.|Погнали.
Let me share my screen.|Покажу екран.
Do you see this?|Бачиш?
It's blurred / low quality.|Розмито / погана якість.
It's not letting me.|Не дає система.
Hold on, my eyes are bad on the phone.|Зачекай, з телефона дрібно.
I should have done this on the computer.|Треба було з комп'ютера.
I'll hop on there real quick.|Зараз швидко зайду.
I'm not seeing what you're showing me.|Не бачу, що ти показуєш.
Can you scroll down?|Прокрути вниз.
Scroll to the top of the page.|Вгору сторінки.
Can we stop right there?|Можемо тут пригальмувати?
One second, sorry.|Секунду, вибач.
Let me turn off my video.|Вимкну відео.
Okay, much better.|Так набагато краще.
I'll send it to you in the chat.|Кину в чат.
Do you know what I'm saying?|Розумієш, про що я?
Do you understand what I mean?|Розумієш, що я маю на увазі?
Do you understand where I'm coming from?|Розумієш мою позицію?
Do you get what I'm trying to say?|Вловлюєш?
Does that make sense?|Звучить логічно?
Am I making sense?|Зрозуміло пояснюю?
Let me rephrase that.|Скажу інакше.
Let me put it this way.|Давай так скажу.
Let me give you an example.|Наведу приклад.
Just to make sure I've got it — you're asking…|Хочу переконатися: ти питаєш…
So if I understand correctly…|Якщо правильно розумію…
Can I play that back to you?|Можна повторю своїми словами?
Sorry, could you say a bit more about that?|Можеш трохи детальніше?
I'm not sure I follow.|Не вловлюю.
You're missing my question.|Ти відповідаєш не на те.
That's not what I'm asking.|Я не про це питаю.
I don't know how else to explain this.|Не знаю, як ще пояснити.
Got it. / I got you.|Зрозумів.
